final_rank,drug_id,drug_name,target,pathway,predicted_ic50,sensitivity_rate,validation_score,safety_score,combined_score,category,clinical_bucket,known_brca,target_expressed,brca_pathway,survival_sig,survival_p,flags,n_assays_tested,recommendation_note
2,1819,Docetaxel,Microtubule stabiliser,Mitosis,-4.3071065,0.92,9.45,6.83,14.33,Approved,Breast cancer current/relevant use,1,1,1,1,0.01,['DILI (Drug-Induced Liver Injury)(+)'],12,Breast-cancer relevant and ADMET-screened. Suitable as a primary shortlist candidate.
3,2048,Vinorelbine,Microtubule destabiliser,Mitosis,-1.5775554,1.0,9.2,8.0,14.0,Approved,Breast cancer current/relevant use,1,1,1,1,0.01,[],10,Breast-cancer relevant and ADMET-screened. Suitable as a primary shortlist candidate.
5,1080,Paclitaxel,Microtubule stabiliser,Mitosis,-3.4391427,1.0,9.4,6.83,13.83,Approved,Breast cancer current/relevant use,1,1,1,1,0.01,['DILI (Drug-Induced Liver Injury)(+)'],12,Breast-cancer relevant and ADMET-screened. Suitable as a primary shortlist candidate.
6,1811,Dactinomycin,RNA polymerase,Other,-2.999836,1.0,7.85,7.0,13.5,Approved,Breast cancer current/relevant use,1,1,0,1,0.01,['DILI (Drug-Induced Liver Injury)(+)'],5,Breast-cancer relevant and ADMET-screened. Suitable as a primary shortlist candidate.
7,1004,Vinblastine,Microtubule destabiliser,Mitosis,-1.4824135,1.0,9.15,7.83,13.33,Approved,Breast cancer current/relevant use,1,1,1,1,0.01,[],12,Breast-cancer relevant and ADMET-screened. Suitable as a primary shortlist candidate.
10,1084,Rapamycin,MTORC1,PI3K/MTOR signaling,0.77469987,1.0,8.8,7.71,10.21,Approved,Breast cancer current/relevant use,1,1,1,1,0.01,[],7,Breast-cancer relevant and ADMET-screened. Suitable as a primary shortlist candidate.
14,1191,Bortezomib,Proteasome,Protein stability and degradation,1.2839334,1.0,8.55,5.29,6.79,Approved,Breast cancer current/relevant use,1,1,1,1,0.01,['DILI (Drug-Induced Liver Injury)(+)'],7,Breast-cancer relevant and ADMET-screened. Suitable as a primary shortlist candidate.
